# Average Spectral response curve for IRAC 3.6 micron array
# Wave     Spectral Response
# microns  electrons / photon
3.081060        0.000647
3.082890        0.000693
3.084730        0.000587
3.086560        0.000602
3.088400        0.000562
3.090240        0.000644
3.092080        0.000770
3.093930        0.000536
3.095780        0.000604
3.097620        0.000754
3.099480        0.000616
3.101330        0.000700
3.103190        0.000709
3.105040        0.000599
3.106900        0.000799
3.108770        0.000999
3.110630        0.001006
3.112500        0.001224
3.114370        0.001505
3.116240        0.001622
3.118110        0.001997
3.119990        0.002527
3.121870        0.002879
3.123750        0.003375
3.125630        0.004117
3.127520        0.004853
3.129400        0.005878
3.131290        0.007288
3.133190        0.008724
3.135080        0.010517
3.136980        0.012770
3.138880        0.015204
3.140780        0.018316
3.142680        0.022090
3.144590        0.026318
3.146490        0.031478
3.148410        0.037443
3.150320        0.044456
3.152230        0.052789
3.154150        0.061800
3.156070        0.072132
3.157990        0.084325
3.159920        0.097751
3.161840        0.112318
3.163770        0.128129
3.165700        0.145642
3.167640        0.163835
3.169570        0.182403
3.171510        0.202680
3.173450        0.223104
3.175400        0.242560
3.177340        0.262041
3.179290        0.281419
3.181240        0.298198
3.183190        0.312781
3.185150        0.328188
3.187110        0.341058
3.189070        0.349933
3.191030        0.358142
3.192990        0.365491
3.194960        0.370071
3.196930        0.372419
3.198900        0.374116
3.200880        0.373759
3.202860        0.370911
3.204840        0.369039
3.206820        0.367754
3.208800        0.364884
3.210790        0.361647
3.212780        0.358033
3.214770        0.354554
3.216760        0.351958
3.218760        0.350599
3.220760        0.349466
3.222760        0.346048
3.224770        0.344447
3.226770        0.345227
3.228780        0.344299
3.230790        0.344332
3.232810        0.345355
3.234820        0.346314
3.236840        0.349056
3.238870        0.351217
3.240890        0.352913
3.242920        0.355695
3.244950        0.359192
3.246980        0.363661
3.249010        0.367334
3.251050        0.370818
3.253090        0.375631
3.255130        0.380227
3.257180        0.384773
3.259220        0.389754
3.261270        0.393817
3.263320        0.397413
3.265380        0.400502
3.267440        0.402880
3.269500        0.405907
3.271560        0.409766
3.273630        0.411492
3.275690        0.412805
3.277760        0.414661
3.279840        0.414907
3.281910        0.415747
3.283990        0.416254
3.286070        0.414985
3.288160        0.414163
3.290240        0.414009
3.292330        0.414019
3.294420        0.412913
3.296520        0.411795
3.298620        0.411043
3.300710        0.408582
3.302820        0.408130
3.304920        0.408650
3.307030        0.406625
3.309140        0.405908
3.311250        0.405624
3.313370        0.405070
3.315490        0.405534
3.317610        0.404370
3.319730        0.402358
3.321860        0.402745
3.323990        0.403701
3.326120        0.404294
3.328260        0.404889
3.330390        0.404461
3.332530        0.404852
3.334680        0.406665
3.336820        0.406900
3.338970        0.406615
3.341120        0.407022
3.343280        0.406751
3.345430        0.406538
3.347590        0.406720
3.349760        0.407302
3.351920        0.407080
3.354090        0.406637
3.356260        0.406434
3.358430        0.405198
3.360610        0.405235
3.362790        0.405123
3.364970        0.404194
3.367160        0.405220
3.369350        0.404630
3.371540        0.402123
3.373730        0.403878
3.375930        0.406217
3.378130        0.406116
3.380330        0.406817
3.382530        0.407671
3.384740        0.408549
3.386950        0.411351
3.389170        0.413813
3.391380        0.416265
3.393600        0.418803
3.395820        0.420671
