#
#
#
#
#POINTS:3882  ! Number of points - Wavelength in microns[um]
    0.005636  1.317000e-19
    0.005687  1.207000e-19
    0.005740  1.317000e-19
    0.005794  1.317000e-19
    0.005848  1.317000e-19
    0.005904  1.317000e-19
    0.005961  1.317000e-19
    0.006019  1.317000e-19
    0.006078  1.317000e-19
    0.006138  1.427000e-19
    0.006199  1.427000e-19
    0.006262  1.427000e-19
    0.006326  1.427000e-19
    0.006391  1.427000e-19
    0.006458  1.427000e-19
    0.006525  1.537000e-19
    0.006595  1.537000e-19
    0.006666  1.537000e-19
    0.006738  1.537000e-19
    0.006812  1.537000e-19
    0.006888  1.646000e-19
    0.006965  1.646000e-19
    0.007045  1.646000e-19
    0.007126  1.646000e-19
    0.007208  1.646000e-19
    0.007293  1.756000e-19
    0.007380  1.756000e-19
    0.007469  1.756000e-19
    0.007560  1.866000e-19
    0.007653  1.866000e-19
    0.007749  1.976000e-19
    0.007847  1.976000e-19
    0.007948  2.085000e-19
    0.008051  2.085000e-19
    0.008157  2.085000e-19
    0.008266  2.195000e-19
    0.008377  2.195000e-19
    0.008492  2.195000e-19
    0.008610  2.305000e-19
    0.008731  2.415000e-19
    0.008856  2.415000e-19
    0.008984  2.524000e-19
    0.009116  2.524000e-19
    0.009253  2.744000e-19
    0.009393  2.854000e-19
    0.009537  2.854000e-19
    0.009686  2.963000e-19
    0.009840  3.073000e-19
    0.009999  3.293000e-19
    0.010160  3.293000e-19
    0.010330  3.402000e-19
    0.010510  3.622000e-19
    0.010690  3.732000e-19
    0.010880  3.841000e-19
    0.011070  3.951000e-19
    0.011270  4.171000e-19
    0.011480  4.390000e-19
    0.011700  4.610000e-19
    0.011920  4.719000e-19
    0.012160  5.049000e-19
    0.012400  5.158000e-19
    0.012700  5.488000e-19
    0.012900  5.707000e-19
    0.013200  6.146000e-19
    0.013500  6.365000e-19
    0.013800  6.805000e-19
    0.014100  7.244000e-19
    0.014400  7.682000e-19
    0.014800  8.122000e-19
    0.015100  8.890000e-19
    0.015500  9.329000e-19
    0.015700  9.768000e-19
    0.015900  1.010000e-18
    0.016100  1.032000e-18
    0.016300  1.076000e-18
    0.016500  1.108000e-18
    0.016800  1.163000e-18
    0.017000  1.196000e-18
    0.017200  1.251000e-18
    0.017500  1.372000e-18
    0.017700  1.383000e-18
    0.018000  1.416000e-18
    0.018200  1.438000e-18
    0.018500  1.547000e-18
    0.018800  1.613000e-18
    0.019100  1.635000e-18
    0.019400  1.745000e-18
    0.019700  1.855000e-18
